Language,Consonants
Lao,"['b', 'd', 'f', 'h', 'j', 'k', 'kʰ', 'l', 'm', 'n', 'ŋ', 'ɲ', 'p', 'pʰ', 'r', 'ɾ', 's', 't', 'tʰ', 'tɕ', 'tɕʰ', 'w', 'ʔ']"
Italian,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'j', 'k', 'l', 'ʎ', 'm', 'ɱ', 'n', 'ŋ', 'ɲ', 'p', 'r', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'w', 'z', 'h', 'θ', 'x', 'ʒ']"
Italian_dialects,"['b', 'bː', 'm', 'd', 'l', 'n', 'dʒ', 'dːʒ', 'ʒ', 'f', 'ɡ', 'j', 'ɡ', 'k', 'k̬', 'h', 'l', 'r', 'ʎ', 'm', 'n', 'ɲ', 'ŋ', 'ɱ', 'm', 'b', 'p', 'p̬', 'ɸ', 'r', 's', 'ts', 'ʃ', 'd', 't', 't̬', 'θ', 'dʒ', 'tʃ', 'ʃ', 'v', 'w', 'z', 's', 'a', 'e', 'ɛ', 'e', 'j', 'i', 'o', 'ɔ', 'o', 'u', 'a', 'e', 'i', 'e', 'o', 'u', 'ˈ', 'ˌ', '.', 'ː']"
Japanese,"['b', 'bʲ', 'ç', 'ɕ', 'd', 'dz', 'dʑ', 'ɸ', 'ɡ', 'ɡʲ', 'h', 'j', 'k', 'kʲ', 'm', 'mʲ', 'n', 'ɲ', 'ŋ', 'ɴ', 'p', 'pʲ', 'ɾ', 'ɾʲ', 's', 't', 'tɕ', 'ts', 'ɰ', 'ɰ̃', 'z', 'ʑ', 'ʔ']"
Kazakh,"['b', 'β', 'ɕ', 'd', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'm', 'n', 'ɴ', 'ŋ', 'p', 'q', 'ɾ', 'ʁ', 's', 't', 'ts', 'tɕ', 'v', 'ɣ', 'w', 'χ', 'z', 'ʑ']"
Khmer,
Korean,"['b', 'd', 'dz', 'dʑ', 'ɡ', 'h', 'ɦ', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'ɾ', 's', 'ɕ', 't', 'ts', 'tɕ', 'w', 'z', 'ʑ']"
Kurdish,
Kyrgyz,
Latin,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'h', 'j', 'k', 'kʰ', 'kʷ', 'kᶣ', 'l', 'ɫ', 'm', 'n', 'ŋ', 'ɲ', 'p', 'pʰ', 'r', 's', 'ʃ', 't', 'tʰ', 'ts', 'tʃ', 'w', 'v', 'z']"
Latvian,"['b', 'c', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'j', 'ɟ', 'k', 'l', 'ʎ', 'm', 'n', 'ɲ', 'ŋ', 'p', 'r', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'x', 'z', 'ʒ']"
Ligurian,"['b', 'd', 'dʒ', 'dʒ', 'f', 'ɡ', 'k', 'l', 'm', 'n', 'ŋ', 'ŋ', 'ɲ', 'p', 'ɾ', 's', 's', 'ʃ', 't', 'tʃ', 'v', 'z', 'z', 'ʒ', 'j', 'w']"
Lithuanian,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'ɣ', 'j', 'k', 'ɫ', 'm', 'n', 'ŋ', 'p', 'r', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'x', 'z', 'ʒ']"
Lombard,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'h', 'k', 'l', 'm', 'ɱ', 'n', 'ŋ', 'ɲ', 'p', 'r', 's', 'ʃ', 't', 'ts', 'tʃ', 'ʋ', 'z', 'ʒ', 'ʎ', 'j', 'w']"
Luxembourgish,"['b', 'ɕ', 'd', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'ʀ', 'ʁ', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'χ', 'z', 'ʒ', 'bv', 'dz', 'dʒ', 'pf', 'w', 'ʑ']"
Macedonian,"['b', 'c', 'd', 'd͡z', 'd͡ʒ', 'f', 'ɡ', 'ɟ', 'j', 'k', 'l', 'ɫ', 'ʎ', 'm', 'n', 'ɲ', 'ŋ', 'p', 'r', 'r̩', 's', 'ʃ', 't', 't͡s', 't͡ʃ', 'v', 'x', 'z', 'ʒ']"
Maithili,"['b', 'bʱ', 'd', 'dʱ', 'dʑ', 'dʑʱ', 'ɖ', 'ɖʱ', 'ɡ', 'ɡʱ', 'ɦ', 'k', 'kʰ', 'l', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'p', 'pʰ', 'r', 's', 't', 'tʰ', 'tɕ', 'tɕʰ', 'ʈ', 'ʈʰ']"
Malagasy,"['b', 'd', 'd͡z', 'ɖʐ', 'f', 'ɡ', 'h', 'k', 'l', 'm', 'n', 'ŋ', 'p', 'r', 's', 't', 't͡s', 'ʈʂ', 'v', 'z']"
Malayalam,"['k', 'kʰ', 'ɡ', 'ɡʱ', 't͡ʃ', 't͡ʃʰ', 'ɟ', 'ɟʱ', 'ʈ', 'ʈʰ', 'ɖ', 'ɖʱ', 't', 'tʰ', 'd', 'dʱ', 'p', 'f', 'b', 'bʱ', 'ŋ', 'ɲ', 'ɳ', 'n̪', 'm', 'j', 'ɾ', 'l', 'ʋ', 'ʃ', 'ʂ', 's', 'h', 'ɭ', 'ɻ', 'r', 'n']"
Maltese,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'ɹ', 's', 'ʃ', 't', 'ts', 'tʃ', 'v', 'w', 'z', 'ʔ']"
Manx,"['b', 'm', 'v', 'f', 'n', 'ŋ', 'l', 'ɾ', 's', 'x', 'h', 'w', 'j', 'z', 'ʒ']"
M%C4%81ori,"['f', 'h', 'k', 'm', 'n', 'ŋ', 'p', 'ɾ', 't', 'w']"
Marathi,"['b', 'bʱ', 'd', 'dʱ', 'ɖ', 'ɖʱ', 'dʑ', 'dʑʱ', 'ɡ', 'ɡʱ', 'ɦ', 'j', 'k', 'kʰ', 'l', 'ɭ̆', 'm', 'n', 'ŋ', 'ɳ', 'p', 'pʰ', 'ɾ', 'ʃ', 'ʂ', 's', 't', 'tʰ', 'ʈ', 'tɕ', 'tɕʰ', 'ʋ']"
Marshallese,
Mauritian_Creole,"['b', 'd', 'dz', 'dʒ', 'f', 'ɡ', 'j', 'k', 'l', 'm', 'n', 'ŋ', 'ɲ', 'p', 'ʁ', 's', 't', 'ts', 'tʃ', 'v', 'w', 'z', 'h']"
Mayan,"['ʔ', 'ɓ', 'tʃ', 'tʃʼ', 'h', 'x', 'k', 'kʼ', 'l', 'm', 'n', 'ŋ', 'p', 'pʼ', 'q', 'qʼ', 'ɾ', 's', 't', 'tʼ', 'ts', 'tsʼ', 'w', 'ʃ', 'j']"
Mongolian,"['f', 'g', 'ɢ', 'j', 'ʲ', 'kʰ', 'ɮ', 'm', 'n', 'ŋ', 'p', 'pʰ', 'r', 's', 'ʃ', 't', 'tʰ', 't͡s', 't͡ʃ', 't͡ʃʰ', 'w̜', 'x']"
Nahuatl,"['ʔ', 'j', 'k', 'kʷ', 'l', 'ɬ', 'm', 'n', 'p', 's', 'ʃ', 't', 't͡ɬ', 't͡ʃ', 't͡s', 'w', 'ʍ']"
Navajo,"['ʔ', 'p', 'tʃʰ', 'tʃʼ', 't', 't', 'ts', 'k', 'ɰ', 'h', 'hʷ', 'tʃ', 'kʰ', 'kʼ', 'kʷ', 'l', 'ɬ', 'm', 'n', 's', 'ʃ', 'tʰ', 'tʼ', 'tɬʰ', 'tɬʼ', 'tsʰ', 'tsʼ', 'w', 'j', 'z', 'ʒ']"
